,City,Street,Floor,NumOfRooms,Size(SQM),Type,Price(₪)
137, נתניה,דוד רזניק 11,1,5.0,134,דירה,3880000
138, רחובות,פרופ' אהרון צ'חנובר,7,5.0,127,דירה,3600000
139, רחובות,הר הצופים 25,5,4.0,105,דירה,2680000
140, ירושלים,ירושלים,1,3.0,100,דירה,3300000
141, קרית אתא,הנביאים,3,3.5,75,דירה,940000
142, קרית מוצקין,דרך עכו חיפה,4,4.0,77,דירה,990000
143, באר שבע,"רמב""ם",10,5.0,250,גג/פנטהאוז,2990000
144, תל אביב יפו,בני אפרים,2,4.0,110,דירה,4500000
146, תל אביב יפו,דרך הטייסים 70,5,4.0,90,דירה,2630000
147, גבעת שמואל,הסיבים,9,6.0,143,דירה,3780000
148, נתניה,שלום עליכם,0,5.0,300,דירת גן,4450000
149, צור יצחק,צור יצחק,1,5.0,128,דירה,2590000
150, רעננה,קרית ויצמן,1,4.0,132,דירה,2870000
151, בני ברק,מרכז העיר,1,4.0,66,דירה,2870000
152, רמת השרון,נווה מגן,5,5.0,127,דירה,4530000
153, תל אביב יפו,"לב תל אביב, לב העיר צפון",1,2.0,72,דירה,3720000
155, חיפה,נווה גנים 19,5,4.0,92,דירה,1490000
156, קרית אונו,פנקס,2,4.0,100,דירה,2500000
157, תל אביב יפו,אליעזר קפלן 19,10,4.0,102,דירה,6700000
159, תל אביב יפו,"מח""ל 14",6,4.0,116,דירה,3650000
160, טבריה,אוסישקין 35,5,6.0,260,גג/פנטהאוז,2300000
161, קרית מוצקין,החשמונאים 37,8,4.0,90,דירה,1245000
162, בת ים,עפרה חזה 9,12,4.0,104,דירה,4300000
163, תל אביב יפו,יצחק אלחנן 14,4,4.0,194,גג/פנטהאוז,16000000
164, פתח תקווה,שרגא רפאלי 16,17,4.0,110,דירה,3100000
165, הוד השרון,בית הבד 9,11,8.0,300,גג/פנטהאוז,12345678
166, אלפי מנשה,שלדג 27,2,5.0,180,דופלקס,2500000
167, אילת,האגס 29,1,6.5,380,דירת גן,2700000
168, לוד,ארבע עונות 3,9,5.0,151,גג/פנטהאוז,2400000
169, אשקלון,הבוסתן 1,6,4.0,135,דירה,1930000
170, ירושלים,המגיד 1,0,5.0,230,דירת גן,7800000
171, באר יעקב,שדרות האלונים 22,6,4.0,104,דירה,2790000
172, הוד השרון,גרין פארק החדשה 1,14,5.0,129,דירה,4800000
173, באר יעקב,אהוד מנור 5,10,5.0,137,דירה,3190000
174, הרצליה,אבן גבירול 47,0,3.0,50,דירה,2850000
175, תל אביב יפו,ויתקין 25,3,3.0,150,גג/פנטהאוז,8200000
176, נתניה,אשר 12,6,4.0,124,דירה,3100000
177, חיפה,התשבי,4,5.0,147,גג/פנטהאוז,2900000
178, ירושלים,מאיר גרשון,1,3.0,82,דירה,1990000
179, תל אביב יפו,ז'אן ז'ורס,2,2.0,66,דירה,4100000
180, רמת השרון,נווה גן,5,5.0,154,גג/פנטהאוז,6350000
181, פתח תקווה,רוטשילד 160,6,5.0,117,דירה,2950000
182, תל אביב יפו,יהושע בן נון,2,3.0,77,דירה,4500000
183, תל אביב יפו,אלכסנדר ינאי 23,0,2.0,52,דירה,3720000
184, תל אביב יפו,החשמונאים,30,5.0,113,דירה,5680000
185, תל אביב יפו,מטלון 66,4,3.0,82,דירה,4250000
186, חיפה,רמת גולדה,2,6.0,170,גג/פנטהאוז,4500000
187, תל אביב יפו,הצפון הישן - צפון,2,3.0,86,דירה,4500000
188, תל אביב יפו,דב גרונר,8,5.0,270,גג/פנטהאוז,10900000
189, תל אביב יפו,יחיאל דב דרזנר,5,4.0,104,דירה,5250000
190, רמת גן,תל חי,0,5.0,138,דירה,3500000
191, אשדוד,אשדוד,3,5.0,126,דירה,2590000
192, כפר יונה,אהבת אדם,5,5.0,125,דירה,2750000
193, אשדוד,רובע א',6,3.0,81,דירה,1490000
194, תל אביב יפו,"אזורי חן, גימל החדשה",0,5.0,127,דירה,5500000
195, כפר סבא,מרכז,2,4.0,119,דירה,2770000
196, צור יצחק,צור יצחק,4,4.0,134,דירה,2490000
197, יבנה,התורן,4,5.0,159,דירה,3150000
198, גני תקווה,דרך המלך 1,1,6.0,138,דירה,4300000
199, בת ים,מתתיהו גנם 12,4,2.0,50,דירה,1850000
200, ערד,הקנאים 33,1,3.5,86,דירה,675000
201, נס ציונה,וייצמן 15,3,3.5,120,דירה,2450000
202, פתח תקווה,יעל רום 12,5,5.0,122,דירה,3680000
203, קרית מוצקין,עפרה חזה 4,1,4.0,92,דירה,1820000
204, קרית ים,ברזילי 7,0,5.0,160,דירת גן,1680000
205, נתניה,שדרות האגמים 7,10,5.0,155,דירה,3820000
206, גני תקווה,הרמה 55,2,3.0,86,דירה,2850000
207, הוד השרון,חנקין 14,5,4.0,123,דירה,3650000
208, תל מונד,הדקל 21,0,3.0,90,דירת גן,2200000
209, ראש העין,נאדין גורדימר 9,3,5.0,148,דירה,3050000
210, אור יהודה,אור יום 20,3,4.0,118,דירה,2200000
211, אור עקיבא,השיקמים 3,18,5.0,190,גג/פנטהאוז,3850000
212, ראשון לציון,ההתיישבות 18,4,5.0,137,דירה,3750000
213, פתח תקווה,הרב עוזיאל 43,2,5.0,158,דופלקס,3700000
214, באר שבע,שאול המלך 93,4,4.0,80,דירה,830000
215, תל אביב יפו,"מח""ל 14",12,4.5,137,דירה,3850000
216, אילת,חוף צפוני,3,3.0,78,דירה,1190000
217, כרמיאל,חטיבת גבעתי,1,4.0,118,דירה,1720000
218, צור יצחק,נחל צלמון,2,4.0,107,גג/פנטהאוז,2490000
219, באר שבע,אלכסנדר ינאי 17,12,3.0,63,דירה,875000
220, פתח תקווה,משה סמילנסקי,2,4.0,113,דירה,2100000
221, חדרה,פרנק,6,3.5,85,דירה,1460000
222, באר שבע,אברהם אבינו 7,1,4.0,68,דירה,885000
223, נהריה,וייצמן,1,3.0,80,דירה,1330000
224, פתח תקווה,הנביאים,5,4.0,96,דירה,2050000
225, נצרת עילית / נוף הגליל,נצרת עילית / נוף הגליל,1,4.0,95,דירה,1250000
226, כפר יונה,כפר יונה,12,5.0,150,דירה,3000000
227, נס ציונה,הכרמים,0,5.0,130,דירת גן,5650000
228, עפולה,הדסים 15,5,5.5,160,גג/פנטהאוז,2200000
229, אילת,אילת,4,5.5,110,גג/פנטהאוז,2140000
230, תל אביב יפו,שפינוזה,1,3.0,66,דירה,4250000
231, ראשון לציון,הצופים,2,3.0,74,דירה,2350000
232, חיפה,אריה כרוך,2,5.0,150,דירת גן,3200000
233, ראשון לציון,נווה חוף,4,5.0,138,דירה,3980000
234, תל אביב יפו,קרית שאול,2,5.0,185,דופלקס,5400000
235, חולון,אורי אלמוג,0,5.0,150,דירת גן,5800000
236, גני תקווה,דרך התקווה,6,6.0,144,דירה,4650000
238, חיפה,נורית 5,3,6.0,162,דירה,4390000
239, פתח תקווה,יעל רום 16,16,6.0,230,דופלקס,5100000
240, טבריה,"שז""ר 15",2,4.0,110,דירת גן,1210000
241, פתח תקווה,הרב וולף 12,1,4.0,90,דירה,2400000
242, קדימה צורן,שדרות יצחק רבין 9,8,5.5,273,דופלקס,4320000
243, ירושלים,עין גדי 3,3,4.0,94,דירה,3450000
244, תל אביב יפו,וולפסון 32,2,3.0,93,דירה,4670000
245, ירושלים,אבא אבן 13,5,3.0,100,דירה,4500000
246, חריש,שוהם 72,2,4.0,200,דירת גן,2200000
247, חיפה,עמק הזיתים 8,3,3.0,100,יחידת דיור,1120000
248, חיפה,הגפן 52,8,5.0,110,דירה,2200000
249, כפר סבא,אנה פרנק 9,4,4.0,127,דירה,3550000
250, רמת גן,אביגיל 20,0,5.0,188,דירת גן,4800000
251, עכו,טניס 5,11,5.0,192,דירה,1750000
252, אופקים,פרי מגדים 74,1,4.0,105,דירה,1000000
253, אשדוד,כינרת 47,9,4.5,138,דירה,2550000
254, הוד השרון,טרומפלדור 11,4,4.0,105,דירה,3200000
255, נס ציונה,נס ציונה,3,4.0,110,דירה,3200000
256, נהריה,דוד בן גאון,0,4.0,250,דירה,4800000
257, ראשון לציון,בית יוסף,4,3.5,80,דירה,1995000
258, חיפה,שדרות דגניה,0,2.5,55,דירה,1299999
259, מודיעין מכבים רעות,הכרמים,3,4.0,100,דירה,3080000
260, נתניה,"הגר""א 10",7,5.0,130,דירה,3480000
261, תל אביב יפו,פנקס,14,4.0,150,דירה,12900000
262, נס ציונה,סביוני נצר סירני,6,5.5,130,דירה,4780000
263, אור עקיבא,אור עקיבא,1,5.0,149,דירה,2599000
264, חולון,מרדכי מקלף,4,3.0,80,דירה,1960000
265, אשקלון,איילה,4,4.0,89,דירה,1410000
266, תל אביב יפו,"גני צהלה, רמות צהלה",0,3.0,86,דירת גן,4900000
267, רמת גן,חרוזים,0,5.0,122,דירת גן,6100000
268, עפולה,יצחק שמיר 43,1,4.0,125,דירה,1400000
269, יבנה,התורן,5,4.0,128,דירה,2690000
270, כרמיאל,מבצע בן עמי,1,4.5,110,דירת גן,1870000
271, חיפה,הזית,2,2.5,75,דירה,1080000
272, חיפה,זוהר,0,5.0,225,דירת גן,3450000
273, מודיעין מכבים רעות,יער חניתה 15,0,5.0,135,דירת גן,4590000
274, עכו,זאב ז'בוטינסקי,1,3.0,60,דירה,709000
275, תל אביב יפו,דבורה הנביאה,1,4.0,122,דירה,4960000
276, אשדוד,כוכב הצפון 3,2,3.0,103,דירה,2350000
277, תל אביב יפו,יונתן הופסי 6,5,4.0,115,דירה,8590000
278, תל אביב יפו,"ד""ר בודנהיימר 8",0,6.0,234,דופלקס,9690000
279, לוד,שבט יהודה 1,9,3.0,102,דירה,1770000
280, כפר סבא,זמיר 17,4,4.0,115,דירה,3050000
281, הרצליה,העצמאות 101,1,4.0,102,דירה,3450000
282, מעלה אדומים,מצפה נבו 35,0,4.0,91,דירה,1820000
283, ירושלים,שמחה הולצברג 28,2,3.0,90,דירה,2200000
284, ירושלים,שדרות משה דיין 80,3,3.0,72,דירה,2150000
285, תל אביב יפו,"אד""ם הכהן 12",4,3.0,97,דירה,6050000
286, תל אביב יפו,חסידי האומות 22,8,4.0,111,דירה,4700000
287, הרצליה,שחרית 8,2,5.0,125,דירה,4640000
288, עפולה,חטיבת כפיר 1,4,4.0,120,דירה,1340000
289, חיפה,ז'אן ז'ורס 21,1,3.0,50,דירה,1250000
290, טבריה,גדוד ברק 17,2,2.0,45,דירה,750000
291, כפר סבא,הרצל 24,4,4.5,140,דירה,3850000
292, חיפה,מדרגות צפת 7,4,3.0,73,דירה,950000
293, אילת,תורמוס 15,3,2.0,40,דירה,1390000
294, בית שמש,משה רבנו 2,3,5.0,120,דירה,2470000
295, אור עקיבא,גני אור,7,5.0,127,גג/פנטהאוז,3000000
296, חיפה,חיפה,1,2.5,70,דירה,850000
297, פתח תקווה,"קק""ל",6,7.0,210,דופלקס,3650000
298, פתח תקווה,מבצע דקל,2,5.0,122,דירה,3620000
299, תל אביב יפו,העבודה 30,0,2.5,74,דירה,3950000
300, חריש,החורש,3,4.0,95,דירה,1520000
301, קרית שמונה,קרית שמונה,2,4.0,128,דירה,1650000
302, מודיעין מכבים רעות,יער ברעם,3,5.0,130,גג/פנטהאוז,4650000
303, חריש,בצוותא,3,3.0,86,דירה,1330000
304, נתניה,הטורים,11,5.0,142,דירה,2950000
305, תל אביב יפו,טאגור,8,6.0,200,גג/פנטהאוז,10350000
306, באר שבע,עולי הגרדום 19,9,3.0,81,דירה,1120000
307, הוד השרון,הראשונים 7,7,5.0,144,דירה,4690000
308, תל אביב יפו,בושם 8,3,3.0,80,דירה,2595000
309, הרצליה,הניצנים,3,5.0,190,גג/פנטהאוז,4690000
310, רחובות,ב' / צפון מערב העיר,3,5.0,120,דירה,2949995
311, פרדסיה,פרדסיה,0,4.0,132,דירת גן,4570000
312, תל אביב יפו,ניסים אלוני 5,3,2.5,75,דופלקס,4275000
313, אשדוד,רובע ג',3,5.5,240,דופלקס,2990000
314, תל אביב יפו,"גני צהלה, רמות צהלה",1,4.0,110,דירה,4500000
315, כפר סבא,דובה ויצחק שיינפיין 32,5,5.0,140,דירה,4400000
316, מודיעין מכבים רעות,נץ החלב 2,0,5.0,128,דירת גן,5000000
317, ראשון לציון,אושה 2,2,4.0,97,דירה,2530000
318, אילת,אנטיב 8,3,1.5,40,יחידת דיור,1420000
319, הוד השרון,גולדה מאיר 1,2,5.0,150,דירה,4350000
320, תל אביב יפו,אלתרמן 7,1,5.0,130,דירה,4550000
321, ראש העין,הרב שלום שבזי 175,2,4.0,107,דירה,2850000
322, רחובות,"חזון אי""ש 6",6,4.0,112,דירה,2600000
323, תל אביב יפו,יצחק אלחנן 14,1,3.0,74,דירה,5150000
324, חולון,גבעת התחמושת 28,2,4.0,80,דירה,2190000
325, נתניה,הקליר 11,14,5.0,152,דירה,2800000
326, ירושלים,יחזקאל קויפמן 1,3,7.0,150,דירה,3900000
327, תל אביב יפו,זלטופולסקי 17,6,5.0,172,גג/פנטהאוז,14900000
328, כפר סבא,אימבר 16,6,5.0,154,דירה,3300000
329, נתניה,שדרות גולדה מאיר 20,1,5.0,98,דירה,2300000
330, חיפה,מדרגות זרובבל 6,1,4.0,115,דירה,1980000
331, באר יעקב,שדרות האלונים 9,8,4.0,115,דירה,2890000
332, ראשון לציון,קרית ספר 13,3,4.0,115,דירה,2700000
333, קרית אתא,התאנים,2,6.5,160,דירה,1990000
334, תל אביב יפו,"מח""ל 70",3,4.0,108,דירה,3350000
335, תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",3,5.5,135,דירה,5650000
336, תל אביב יפו,ארלוזורוב 17,16,4.5,141,דירה,18000000
337, רחובות,ב' / צפון מערב העיר,0,3.0,65,דירת גן,2780000
338, ירושלים,ירושלים,2,3.0,75,דירה,3150000
339, נשר,יפה נוף,2,4.0,110,דירה,980000
340, פתח תקווה,גדרה,1,4.0,90,דירה,2770000
341, ירושלים,עמנואל זיסמן,3,4.0,115,דירה,2670000
342, הרצליה,נתן אלתרמן 50,5,5.0,126,דירה,5250000
343, בת ים,מבצע סיני,1,6.0,125,דירה,3300000
344, נס ציונה,חושן,6,4.0,132,דירה,3550000
345, תל אביב יפו,נאות אפקה ב',3,5.0,116,דירה,4350000
346, נתניה,גלי הים,29,5.0,168,דירה,5000000
347, כפר סבא,גאולה,2,4.0,120,דירה,3290000
348, תל אביב יפו,יעקב סלע,4,4.0,95,דירה,2250000
349, אשקלון,אנה פרנק,0,2.5,155,דירת גן,1420000
350, נתניה,יהודה הלוי 25,1,3.0,85,דירה,1840000
351, ערד,אבישור,2,3.5,80,דירה,760000
352, תל אביב יפו,"ש""י עגנון",7,5.0,145,דירה,6500000
353, תל אביב יפו,"שדרות החי""ל 26",3,4.0,104,דירה,3450000
354, באר שבע,מרבד הקסמים 3,0,3.0,70,דירה,925000
355, בני ברק,רבי עקיבא 96,3,6.0,120,גג/פנטהאוז,2550000
356, אשקלון,ח.מ. שפירא 39,3,4.0,79,דירה,1150000
357, פתח תקווה,הרב פינצי 8,3,3.0,85,דירה,2200000
358, תל אביב יפו,חנה רובינא 1,9,5.0,216,גג/פנטהאוז,12000000
359, חיפה,משה חיים שפירא 11,1,4.0,80,דירה,1170000
360, חיפה,חטיבת כרמלי 1,3,3.0,75,דירה,1100000
361, חריש,אודם 11,3,4.0,116,דירה,1535000
362, רמת גן,ידע עם 1,3,3.0,92,דירה,3300000
363, כפר סבא,"ביל""ו 6",7,4.0,87,גג/פנטהאוז,3850000
364, פתח תקווה,"צה""ל 62",9,5.0,147,דופלקס,3790000
365, פתח תקווה,יונה גרין 3,5,4.0,75,דירה,1995000
366, בית שמש,המשלט 19,1,9.0,530,דירת גן,3150000
367, ירושלים,שמואל הנביא 106,2,3.5,70,דירה,2800000
368, רעננה,בר אילן 42,1,5.0,171,דירה,3790000
369, יהוד מונוסון,זאב וינהויז 3,3,4.0,120,דירה,2890000
370, קרית גת,הנרייטה סאלד 65,6,4.0,100,דירה,1990000
371, חיפה,דרך אריק שרון 1,2,8.0,274,דירה,5450000
372, חיפה,כבירים,1,4.0,94,דירה,1390000
373, חיפה,קדימה,1,5.0,110,דירה,2970000
374, ירושלים,משה קליינמן,3,4.5,92,דירה,2520000
375, הרצליה,דוד שמעוני,1,4.0,110,דירה,3690000
376, רמת גן,עליות,3,4.0,104,דירה,2900000
377, אשקלון,שדרות עמק יזרעאל 40,3,4.0,119,דירה,1830000
378, לוד,ראובן רובין 6,2,4.0,80,דירה,1320000
379, יבנה,נאות בן גוריון,7,4.0,160,גג/פנטהאוז,2070000
380, תל אביב יפו,בלפור,5,4.0,126,גג/פנטהאוז,6950000
381, ראשון לציון,נחלת יהודה,11,5.0,254,גג/פנטהאוז,5800000
382, חיפה,דרך צרפת,2,4.0,90,דירה,1590000
383, חולון,ישראל גלילי 16,3,5.0,127,דירה,3290000
384, חיפה,שדרות דגניה,0,3.0,90,דירה,970000
385, גבעתיים,שינקין,2,2.5,68,דירה,2590000
386, צפת,דרום,5,4.0,80,דירה,1130000
387, כרמיאל,אטד,0,4.0,115,דירת גן,1820000
388, הרצליה,אפרסמון,2,5.0,130,גג/פנטהאוז,3670000
389, אשקלון,אלי כהן 37,5,4.0,90,דירה,1480000
390, הרצליה,הרצליה פיתוח,0,2.0,200,גג/פנטהאוז,40000000
391, תל אביב יפו,דיזנגוף,4,2.0,65,דירה,2980000
392, ראשון לציון,ראשון לציון,2,5.0,220,גג/פנטהאוז,5300000
393, חריש,אורן 54,0,5.5,150,דירה,2230000
394, מודיעין מכבים רעות,שרה אמנו 41,5,5.0,152,דופלקס,4690000
395, גני תקווה,דרך הים 18,2,4.0,110,דירה,3720000
396, חולון,"הפלמ""ח 9",2,3.0,92,דירה,2300000
397, תל אביב יפו,פנקס 52,9,5.0,150,דירה,9800000
398, פרדס חנה כרכור,המעלה 8,1,5.0,165,דירה,2990000
399, עכו,דרך הים 5,11,4.0,120,דירה,2400000
400, נתניה,שמחה ארליך 12,4,4.0,117,דירה,2650000
401, עכו,יוסף כתראן 8,2,6.0,165,דירה,1530000
402, בת ים,השיקמה 14,4,2.5,65,דירה,1950000
403, חריש,כלנית 5,4,4.0,106,דירה,1690000
404, נתניה,יאנוש קורצ'אק 19,4,2.0,45,דירה,1729000
405, שדרות,משה זרח 14,0,4.0,135,דירת גן,1100000
406, ירושלים,הקונגרס הציוני 1,9,6.0,300,גג/פנטהאוז,6400000
407, באר שבע,התלמוד 103,3,3.0,70,דירה,690000
408, תל אביב יפו,אמיל בריג 8,5,4.0,104,דירה,4600000
409, תל אביב יפו,כהנשטם 3,2,4.0,108,דירה,7000000
410, חדרה,פרנק 17,3,4.5,115,דירה,1590000
411, באר שבע,אלעזר בן יאיר 4,3,4.0,73,דירה,799000
412, ירושלים,רחביה,0,2.0,44,דירה,2700000
413, כפר סבא,אהרונוביץ',6,6.0,200,גג/פנטהאוז,6480000
414, חולון,טרומפלדור 3,1,3.0,85,דירה,2195000
415, באר שבע,אליהו הנביא 10,2,3.0,65,דירה,765000
416, חיפה,רמת אשכול,1,5.0,127,דירת גן,2790000
417, הרצליה,חנה רובינא,3,5.0,130,דירה,5490000
418, חיפה,אחוזה,4,6.0,150,גג/פנטהאוז,3200000
419, הוד השרון,הרצל,7,4.5,137,דירה,3590000
420, מודיעין מכבים רעות,מודיעין מכבים רעות,5,3.0,80,דירה,2790000
421, ירושלים,משה רחמילביץ',2,4.0,100,דירה,2390000
422, אור עקיבא,אור עקיבא,3,3.0,62,דירה,1000000
423, באר שבע,התקווה 12,3,4.0,125,דירה,1495000
424, בני ברק,"ראב""ד",3,4.0,80,דירה,2330000
425, ראש העין,שדרות בן גוריון,4,4.5,125,דירה,2950000
426, רמת גן,ברקאי,3,5.0,92,דירה,2820000
427, טירת כרמל,שדרות יצחק שמיר,1,4.0,128,דירה,1890000
428, באר שבע,אברהם אבינו,2,3.0,47,דירה,690000
429, חיפה,חיפה,3,5.0,135,דירה,2120000
430, דימונה,דרך השלום,3,4.0,77,דירה,500000
431, אילת,שדרות ארגמן,5,4.5,151,דירה,2550000
432, קרית גת,נחל ירקון 38,1,5.0,127,דירה,2150000
433, רמת גן,הרב יצחק חי טייב 7,1,5.0,115,דירה,3300000
434, חדרה,שדרות רחבעם זאבי 1,3,4.5,140,דירה,3680000
435, חולון,בית לחם 5,7,5.0,210,גג/פנטהאוז,3490000
436, נתניה,נורדאו 47,1,2.5,48,דירה,1620000
437, לוד,יעקב אבינו 6,7,6.0,265,גג/פנטהאוז,3400000
438, תל אביב יפו,פעמונית 24,9,3.0,45,גג/פנטהאוז,3500000
439, נתניה,שדרות האגמים 11,0,5.0,216,דירת גן,5190000
